sitename,regionnumb,trendsite,rookery,month,day,year,pupcount,counttype,source,replicate,counter,comments
SEA LION ROCK (AMAK),9,1,1,7,1,1998,134,5,1,,,checked to field book
SEGUAM/SADDLERIDGE,10,1,1,7,2,1998,479,5,1,,,checked to field book
UGAMAK COMPLEX,9,1,1,7,2,1998,558,5,1,,,"""checked to field book, Ugamak only"""
YUNASKA,10,1,1,7,3,1998,161,5,1,,,checked to field book
FORRESTER COMPLEX,5,1,1,7,5,1998,2753,5,2,,,"""Pitcher, 1998 contract report"""
HAZY,5,1,1,7,4,1998,1199,5,2,,,"""Pitcher, 1998 contract report"""
MARMOT,7,1,1,7,1,1998,642,5,2,,,"""Pitcher, 1998 contract report"""
OUTER (PYE),7,0,1,7,5,1998,113,5,2,,,"""Pitcher 1998, contract report"""
WHITE SISTERS,5,1,1,7,4,1998,282,5,2,,,"""Pitcher, 1998 contract report"""
UGAMAK COMPLEX,9,1,1,99,99,1986,1386,6,99,,,"""field book (rt 7/99) + Merrick et al, 1987, Ugamak only"""
MARMOT,7,1,1,7,99,1997,762,6,1,,,"""Pitcher, 1998 contract report, cnt from perphery"""
SUGARLOAF,7,1,1,7,3,1997,673,6,2,,,"""Pitcher, 1998 contract report, cnt from periphery"""
AYUGADAK,10,1,1,6,28,1998,89,6,1,,,checked to field book
KISKA/CAPE ST STEPHEN,10,1,1,6,27,1998,54,6,1,,,checked to field book
WOODED (FISH),6,1,1,6,27,1998,147,6,2,,,"""Pitcher, 1998 contract report, cnt from periphery"""
SUGARLOAF,7,1,1,7,4,1998,703,6,2,,,"""Pitcher, 1998 contract report"""
BOGOSLOF/FIRE ISLAND,9,1,1,7,15,1979,914,7,99,,,"""Fiscus et al, 1981"""
ADAK,10,0,0,7,2,1985,558,7,99,,,"""Merrick et al, 1987, prior name was c yakak/lake pt"""
CHOWIET,7,1,1,6,27,1990,343,7,1,,,"""344 in Merrick et al, 1991"""
ADAK,10,0,0,7,11,1990,137,7,1,,,"""Merrick et al, 1991, prior name was c yakak/lake pt"""
AGLIGADAK,10,1,0,7,8,1990,0,3,1,,,"""Merrick et al, 1991"""
AKUTAN/CAPE MORGAN,9,1,1,7,3,1990,442,7,1,,,"""Merrick et al, 1991"""
KASATOCHI/NORTH POINT,10,1,1,7,10,1990,178,7,1,,,"""Merrick et al, 1991"""
AMCHITKA/EAST CAPE,10,1,0,7,4,1994,6,7,1,,,checked to field book
AMCHITKA/EAST CAPE,10,1,0,6,28,1998,9,7,1,,,checked to field book
AMLIA/SVIECH. HARBOR,10,0,0,7,2,1998,13,7,1,,,checked to field book
OGCHUL,9,1,1,7,5,1998,42,7,1,,,checked to field book
SEMISOPOCHNOI/PETREL,10,0,0,7,7,1994,10,8,1,,,checked to field book
SEMISOPOCHNOI/POCHNOI,10,0,0,7,7,1994,11,8,1,,,checked to field book
SEMISOPOCHNOI/PETREL,10,0,0,6,19,1998,0,8,1,,,
SEMISOPOCHNOI/POCHNOI,10,0,0,6,19,1998,6,8,1,,,checked to JLS field book
AGLIGADAK,10,1,0,7,2,1998,0,8,1,,,checked to field book
OUTER (PYE),7,0,1,99,99,1997,106,2,2,,,"""medium-format photo, Pitcher 1998 (contract report)"""
WOODED (FISH),6,1,1,99,99,1997,123,2,2,,,"""medium-format photo, Pitcher, 1998 contract report"""
SEAL ROCKS,6,1,1,7,2,1997,487,2,2,,,"""medium-format photo, Pitcher, 1998 contract report, Snyder via Pitcher"""
MARMOT,7,1,1,7,2,1997,759,2,5,,,medium-format photo
AGATTU,11,1,1,7,6,1990,1127,99,7,,,"""Douglas & Byrd, 1990, Alaska Maritime NWR"""
BULDIR,11,0,1,7,8,1990,381,99,7,,,"""Douglas & Byrd, 1990, Alaska Maritime NWR"""
BULDIR,11,0,1,6,28,1995,120,99,7,,,source: Alaska Maritime NWR
WALRUS,12,0,1,7,24,1997,35,99,7,,,"""Byrd, 1997, Alaska Maritime NWR"""
WOODED (FISH),6,1,1,6,20,1978,29,99,99,,,"""Calkins et al, 1979 Annual Report"""
ADAK/LAKE POINT,10,1,1,6,30,1979,20,99,99,,,"""Fiscus et al, 1981 (rt added 7/99)"""
KASATOCHI/NORTH POINT,10,1,1,6,25,1979,213,99,99,,,"""Fiscus et al, 1981 (rt added 7/99)"""
AGATTU,11,1,1,7,99,1979,183,99,99,,,"""AINWR report, 1980 (rt added 7/99, min count)"""
AYUGADAK,10,1,1,7,10,1979,22,99,99,,,"""Fiscus et al, 1981 (rt added 7/99)"""
AMCHITKA/COLUMN ROCK,10,0,1,7,6,1979,135,99,99,,,"""Fiscus et al, 1981 (rt added 7/99)"""
KISKA/CAPE ST STEPHEN,10,1,1,7,8,1979,137,99,99,,,"""Fiscus et al, 1981 (rt added 7/99)"""
KISKA/LIEF COVE,10,1,1,7,8,1979,476,99,99,,,"""Fiscus et al, 1981 (rt added 7/99)"""
